bedrooms,bathrooms,toilets,parking_space,type,town,state,geo_zone,GDP_per_capital,total_crime,price_wins
6,5,5,4,Detached Duplex,Mabushi,Abuja,North Central,1292.0,5382,450000000.0
4,5,5,4,Terraced Duplexes,Katampe,Abuja,North Central,1292.0,5382,650000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,4,5,6,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,40000000.0
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,75000000.0
5,5,6,1,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,450000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
2,2,3,6,Detached Bungalow,Epe,Lagos,South West,6614.0,50975,13000000.0
1,1,1,1,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,200000000.0
4,4,5,5,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,60000000.0
3,4,5,4,Terraced Duplexes,Lokogoma District,Abuja,North Central,1292.0,5382,25000000.0
6,6,6,4,Semi Detached Duplex,Oredo,Edo,South South,2038.0,1729,45000000.0
4,5,6,3,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
6,6,7,4,Detached Duplex,Victoria Island (VI),Lagos,South West,6614.0,50975,450000000.0
3,4,4,3,Detached Bungalow,Mowe Ofada,Ogun,South West,2024.0,1601,13000000.0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,48000000.0
3,3,4,4,Detached Bungalow,Lokogoma District,Abuja,North Central,1292.0,5382,37000000.0
4,5,5,4,Detached Duplex,Victoria Island (VI),Lagos,South West,6614.0,50975,170000000.0
3,3,4,2,Block of Flats,Ikeja,Lagos,South West,6614.0,50975,350000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,85000000.0
3,3,4,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,34000000.0
4,5,5,2,Terraced Duplexes,Victoria Island (VI),Lagos,South West,6614.0,50975,130000000.0
5,6,7,6,Detached Duplex,Katampe,Abuja,North Central,1292.0,5382,160000000.0
4,4,5,3,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,60000000.0
5,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,270000000.0
5,6,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,250000000.0
4,4,5,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,180000000.0
6,8,8,3,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,4,5,4,Detached Duplex,Magodo,Lagos,South West,6614.0,50975,140000000.0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
2,3,5,4,Block of Flats,Mowe Ofada,Ogun,South West,2024.0,1601,13000000.0
5,5,6,6,Detached Duplex,Kaura,Abuja,North Central,1292.0,5382,150000000.0
4,4,5,8,Detached Duplex,Galadimawa,Abuja,North Central,1292.0,5382,70000000.0
3,5,5,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,40000000.0
5,5,6,1,Detached Duplex,Oredo,Edo,South South,2038.0,1729,70000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,55000000.0
6,6,7,8,Detached Duplex,Gwarinpa,Abuja,North Central,1292.0,5382,130000000.0
4,5,5,4,Semi Detached Duplex,Gwarinpa,Abuja,North Central,1292.0,5382,75000000.0
2,2,3,2,Block of Flats,Lekki,Lagos,South West,6614.0,50975,30000000.0
2,2,3,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,53000000.0
5,6,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,270000000.0
5,5,5,4,Detached Bungalow,Katampe,Abuja,North Central,1292.0,5382,130000000.0
3,3,4,4,Block of Flats,Lekki,Lagos,South West,6614.0,50975,25500000.0
5,5,6,4,Detached Duplex,Magodo,Lagos,South West,6614.0,50975,235000000.0
3,3,4,3,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,65000000.0
4,4,4,3,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,55000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,69000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,105000000.0
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,South West,6614.0,50975,60000000.0
5,5,6,5,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
5,5,6,1,Detached Duplex,Gwarinpa,Abuja,North Central,1292.0,5382,300000000.0
2,2,2,4,Detached Bungalow,Abeokuta North,Ogun,South West,2024.0,1601,13000000.0
8,8,8,4,Block of Flats,Oredo,Edo,South South,2038.0,1729,36000000.0
4,4,5,1,Semi Detached Duplex,Galadimawa,Abuja,North Central,1292.0,5382,50000000.0
4,5,5,4,Semi Detached Duplex,Ajah,Lagos,South West,6614.0,50975,60000000.0
5,6,7,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,150000000.0
3,4,4,6,Detached Duplex,Lugbe District,Abuja,North Central,1292.0,5382,30000000.0
5,5,6,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,75000000.0
2,3,3,3,Semi Detached Bungalow,Ibeju Lekki,Lagos,South West,6614.0,50975,13000000.0
5,5,6,2,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,110000000.0
2,2,3,1,Semi Detached Bungalow,Epe,Lagos,South West,6614.0,50975,13000000.0
5,5,6,6,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,330000000.0
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,South West,6614.0,50975,45000000.0
4,4,4,5,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,50000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,135000000.0
4,2,2,4,Semi Detached Bungalow,Yaba,Lagos,South West,6614.0,50975,40000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,280000000.0
5,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,150000000.0
4,5,5,4,Block of Flats,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,5,6,4,Terraced Duplexes,Katampe,Abuja,North Central,1292.0,5382,131000000.0
4,4,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,85000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,155000000.0
1,2,2,1,Block of Flats,Sango Ota,Ogun,South West,2024.0,1601,13000000.0
3,3,4,4,Detached Bungalow,Ifako-Ijaiye,Lagos,South West,6614.0,50975,13000000.0
4,4,5,4,Detached Duplex,Agege,Lagos,South West,6614.0,50975,60000000.0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,105000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,100000000.0
2,5,5,4,Block of Flats,Ikorodu,Lagos,South West,6614.0,50975,22500000.0
5,5,6,2,Terraced Duplexes,Kaura,Abuja,North Central,1292.0,5382,70000000.0
4,5,5,4,Terraced Duplexes,Jahi,Abuja,North Central,1292.0,5382,75000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
3,3,3,4,Detached Bungalow,Ibadan,Oyo,South West,980.0,2969,13000000.0
4,2,2,1,Terraced Bungalow,Sango Ota,Ogun,South West,2024.0,1601,13000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,145000000.0
4,5,5,4,Detached Duplex,Orozo,Abuja,North Central,1292.0,5382,52500000.0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,61000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,110000000.0
5,5,5,1,Detached Bungalow,Ifo,Ogun,South West,2024.0,1601,15000000.0
5,3,3,4,Detached Duplex,Owerri North,Imo,South East,2996.0,1590,50000000.0
5,6,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,260000000.0
4,4,5,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,29800000.0
4,5,6,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,145000000.0
4,4,5,5,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,150000000.0
4,4,5,3,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,80000000.0
5,6,8,1,Detached Duplex,Guzape District,Abuja,North Central,1292.0,5382,280000000.0
4,4,5,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,45000000.0
5,5,6,4,Detached Duplex,Lekki,Anambra,South East,2002.0,1888,260000000.0
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,75000000.0
4,4,5,3,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,60000000.0
3,3,4,3,Terraced Bungalow,Mowe Ofada,Ogun,South West,2024.0,1601,13000000.0
3,3,4,4,Block of Flats,Idu Industrial,Abuja,North Central,1292.0,5382,135000000.0
3,5,5,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,42000000.0
5,5,6,5,Semi Detached Duplex,Owerri Municipal,Imo,South East,2996.0,1590,60000000.0
3,3,4,3,Terraced Bungalow,Lekki,Lagos,South West,6614.0,50975,36436500.0
3,5,5,4,Block of Flats,Magodo,Lagos,South West,6614.0,50975,55000000.0
3,3,3,4,Detached Bungalow,Sango Ota,Ogun,South West,2024.0,1601,13000000.0
4,4,5,4,Detached Duplex,Gwarinpa,Abuja,North Central,1292.0,5382,80000000.0
4,5,5,6,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,90000000.0
5,6,7,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,470000000.0
4,4,5,4,Detached Duplex,Isheri North,Lagos,South West,6614.0,50975,40000000.0
5,5,6,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,90000000.0
5,5,6,1,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,200000000.0
2,5,5,4,Semi Detached Bungalow,Galadimawa,Abuja,North Central,1292.0,5382,30000000.0
5,5,6,4,Detached Duplex,Katampe,Abuja,North Central,1292.0,5382,150000000.0
5,5,3,6,Detached Duplex,Utako,Abuja,North Central,1292.0,5382,250000000.0
6,6,7,1,Detached Duplex,Guzape District,Abuja,North Central,1292.0,5382,300000000.0
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
2,5,9,4,Detached Bungalow,Ibeju Lekki,Lagos,South West,6614.0,50975,30000000.0
4,3,3,4,Terraced Duplexes,Guzape District,Abuja,North Central,1292.0,5382,49900000.0
5,6,7,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,4,5,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,70000000.0
4,5,5,4,Semi Detached Duplex,Port Harcourt,Rivers,South South,2277.0,1570,85000000.0
4,4,4,2,Semi Detached Duplex,Kuje,Abuja,North Central,1292.0,5382,13000000.0
5,5,6,6,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,325000000.0
4,4,5,3,Terraced Duplexes,Jahi,Abuja,North Central,1292.0,5382,65000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,130000000.0
3,3,4,3,Semi Detached Duplex,Ajah,Lagos,South West,6614.0,50975,50000000.0
4,5,5,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,65000000.0
6,6,7,5,Detached Duplex,Isheri,Lagos,South West,6614.0,50975,140000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,80000000.0
8,1,1,4,Detached Duplex,Ibadan,Oyo,South West,980.0,2969,150000000.0
5,5,6,4,Detached Duplex,Gwarinpa,Abuja,North Central,1292.0,5382,150000000.0
4,4,5,4,Semi Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,240000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,110000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,450000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,500000000.0
3,4,4,4,Terraced Duplexes,Ikoyi,Lagos,South West,6614.0,50975,240000000.0
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,North Central,1292.0,5382,60000000.0
5,6,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,4,5,4,Terraced Duplexes,Victoria Island (VI),Lagos,South West,6614.0,50975,115000000.0
3,2,2,4,Detached Bungalow,Ibadan,Oyo,South West,980.0,2969,13000000.0
5,7,7,7,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,450000000.0
4,4,4,3,Terraced Duplexes,Ikeja,Lagos,South West,6614.0,50975,180000000.0
6,6,7,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,275000000.0
4,4,5,7,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,190000000.0
3,3,3,4,Detached Bungalow,Ipaja,Lagos,South West,6614.0,50975,24000000.0
4,4,5,4,Terraced Duplexes,Magodo,Lagos,South West,6614.0,50975,75000000.0
4,5,5,4,Block of Flats,Owerri Municipal,Imo,South East,2996.0,1590,130000000.0
5,5,6,1,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,250000000.0
6,6,7,6,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,South West,6614.0,50975,48000000.0
4,5,5,2,Detached Bungalow,Ado-Odo/Ota,Ogun,South West,2024.0,1601,13000000.0
3,3,4,2,Detached Bungalow,Ajah,Lagos,South West,6614.0,50975,42000000.0
5,5,5,4,Detached Duplex,Magodo,Lagos,South West,6614.0,50975,85000000.0
4,4,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,90000000.0
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
3,2,2,2,Block of Flats,Ikeja,Lagos,South West,6614.0,50975,300000000.0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,70000000.0
3,3,4,3,Semi Detached Duplex,Magodo,Lagos,South West,6614.0,50975,85000000.0
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,75000000.0
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,80000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,160000000.0
4,5,5,5,Detached Bungalow,Port Harcourt,Rivers,South South,2277.0,1570,32000000.0
3,4,5,6,Detached Bungalow,Ibeju Lekki,Lagos,South West,6614.0,50975,20000000.0
4,4,5,3,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,75000000.0
5,5,6,3,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,65000000.0
4,4,5,4,Terraced Duplexes,Dape,Abuja,North Central,1292.0,5382,45000000.0
3,4,4,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,36000000.0
5,5,6,3,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,375000000.0
5,7,8,6,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,300000000.0
6,6,7,3,Detached Duplex,Isheri North,Ogun,South West,2024.0,1601,140000000.0
1,5,5,4,Detached Bungalow,Mushin,Lagos,South West,6614.0,50975,30000000.0
3,3,4,4,Block of Flats,Ejigbo,Lagos,South West,6614.0,50975,55000000.0
9,9,1,1,Detached Duplex,Isolo,Lagos,South West,6614.0,50975,70000000.0
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,North Central,1292.0,5382,65000000.0
3,2,2,4,Block of Flats,Oredo,Edo,South South,2038.0,1729,25000000.0
5,5,6,8,Detached Duplex,Lokogoma District,Abuja,North Central,1292.0,5382,120000000.0
4,5,5,3,Terraced Duplexes,Ikoyi,Lagos,South West,6614.0,50975,240000000.0
3,2,2,2,Detached Bungalow,Agege,Lagos,South West,6614.0,50975,13000000.0
3,5,3,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,32000000.0
4,4,4,4,Detached Bungalow,Lokogoma District,Abuja,North Central,1292.0,5382,30000000.0
3,3,4,4,Detached Bungalow,Ojodu,Lagos,South West,6614.0,50975,16000000.0
4,4,5,3,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,85000000.0
4,4,5,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,45000000.0
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,60000000.0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,600000000.0
3,3,4,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,34900000.0
3,3,3,4,Detached Bungalow,Ibadan,Oyo,South West,980.0,2969,18000000.0
5,4,5,3,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,68000000.0
2,5,5,4,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,35000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,650000000.0
4,4,5,3,Terraced Duplexes,Ikoyi,Lagos,South West,6614.0,50975,380000000.0
5,6,7,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,120000000.0
7,7,8,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,200000000.0
3,4,4,3,Detached Bungalow,Lekki,Lagos,South West,6614.0,50975,33000000.0
8,8,8,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,45000000.0
5,6,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,110000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,90000000.0
5,5,6,4,Terraced Duplexes,Gaduwa,Abuja,North Central,1292.0,5382,38000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,250000000.0
2,5,5,4,Detached Bungalow,Idu Industrial,Abuja,North Central,1292.0,5382,13000000.0
4,5,5,4,Detached Duplex,Guzape District,Abuja,North Central,1292.0,5382,180000000.0
3,3,4,4,Detached Bungalow,Ajah,Lagos,South West,6614.0,50975,45000000.0
4,4,5,4,Detached Bungalow,Enugu,Enugu,South East,690.0,2171,28500000.0
5,5,6,8,Detached Duplex,Dakwo,Abuja,North Central,1292.0,5382,80000000.0
5,6,7,3,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
1,5,5,1,Block of Flats,Ikorodu,Lagos,South West,6614.0,50975,20000000.0
4,5,5,4,Block of Flats,Victoria Island (VI),Lagos,South West,6614.0,50975,650000000.0
4,4,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,160000000.0
5,5,6,1,Detached Duplex,Asokoro District,Abuja,North Central,1292.0,5382,150000000.0
4,4,5,3,Terraced Duplexes,Victoria Island (VI),Lagos,South West,6614.0,50975,180000000.0
2,2,2,4,Detached Bungalow,Alimosho,Lagos,South West,6614.0,50975,13000000.0
3,4,4,2,Terraced Duplexes,Sagamu,Ogun,South West,2024.0,1601,21000000.0
4,4,5,5,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,65000000.0
3,3,4,5,Detached Bungalow,Ikorodu,Lagos,South West,6614.0,50975,13000000.0
3,5,5,4,Detached Bungalow,Lokogoma District,Abuja,North Central,1292.0,5382,40000000.0
5,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,450000000.0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,55000000.0
5,5,5,1,Terraced Duplexes,Chikun,Kaduna,North West,1112.0,1083,60000000.0
4,4,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,74000000.0
4,5,5,4,Block of Flats,Ibeju Lekki,Anambra,South East,2002.0,1888,13000000.0
2,2,3,4,Detached Bungalow,Egbeda,Oyo,South West,980.0,2969,13000000.0
4,5,5,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,75000000.0
4,5,5,4,Detached Duplex,Ojodu,Lagos,South West,6614.0,50975,85000000.0
3,5,5,4,Semi Detached Bungalow,Mowe Ofada,Ogun,South West,2024.0,1601,13000000.0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,120000000.0
4,4,5,1,Detached Bungalow,Port Harcourt,Rivers,South South,2277.0,1570,30000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,125000000.0
4,4,4,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,5,5,4,Terraced Duplexes,Utako,Abuja,North Central,1292.0,5382,80000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,75000000.0
5,7,7,8,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,80000000.0
3,3,4,3,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,45000000.0
4,5,5,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,35000000.0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,47000000.0
5,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,145000000.0
4,5,5,4,Terraced Duplexes,Lugbe District,Abuja,North Central,1292.0,5382,50000000.0
5,5,6,4,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,95000000.0
5,5,6,3,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,160000000.0
2,2,3,3,Block of Flats,Jahi,Abuja,North Central,1292.0,5382,22000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,150000000.0
3,3,4,4,Terraced Duplexes,Katampe,Abuja,North Central,1292.0,5382,75000000.0
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
4,6,6,4,Semi Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,240000000.0
4,5,5,4,Block of Flats,Magodo,Lagos,South West,6614.0,50975,30000000.0
3,3,3,4,Detached Bungalow,Mowe Ofada,Ogun,South West,2024.0,1601,16000000.0
5,6,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,450000000.0
4,5,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,140000000.0
2,3,3,4,Block of Flats,Lekki,Lagos,South West,6614.0,50975,65000000.0
6,6,7,6,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,450000000.0
5,5,7,6,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,North Central,1292.0,5382,60000000.0
4,5,5,3,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,85000000.0
5,7,7,4,Detached Duplex,Wuye,Abuja,North Central,1292.0,5382,165000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,80000000.0
5,5,5,4,Detached Duplex,Kubwa,Abuja,North Central,1292.0,5382,60900000.0
4,4,5,2,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,70000000.0
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,South West,6614.0,50975,82000000.0
4,5,5,4,Detached Bungalow,Shomolu,Lagos,South West,6614.0,50975,45000000.0
2,3,3,3,Block of Flats,Lekki,Lagos,South West,6614.0,50975,50000000.0
5,5,6,8,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,150000000.0
4,4,5,4,Semi Detached Duplex,Lekki,Anambra,South East,2002.0,1888,75000000.0
5,5,6,5,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,130000000.0
5,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,190000000.0
4,4,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,125000000.0
5,5,6,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,350000000.0
5,5,6,6,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,4,5,1,Terraced Duplexes,Ogudu,Lagos,South West,6614.0,50975,75000000.0
5,5,5,4,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,250000000.0
5,5,5,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,400000000.0
3,3,3,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,31000000.0
4,5,5,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,125000000.0
4,6,6,4,Detached Duplex,Ibadan,Oyo,South West,980.0,2969,75000000.0
5,5,6,3,Terraced Duplexes,Ikoyi,Lagos,South West,6614.0,50975,185000000.0
4,5,5,4,Terraced Duplexes,Lugbe District,Abuja,North Central,1292.0,5382,32000000.0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,550000000.0
5,6,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,150000000.0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,160000000.0
4,4,5,2,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,90000000.0
5,5,5,4,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,165000000.0
1,1,1,4,Block of Flats,Ibadan,Oyo,South West,980.0,2969,35000000.0
4,5,5,4,Terraced Duplexes,Ikeja,Lagos,South West,6614.0,50975,110000000.0
4,4,5,8,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,65000000.0
4,4,5,4,Semi Detached Bungalow,Lekki,Lagos,South West,6614.0,50975,38500000.0
4,4,5,2,Detached Duplex,Ajah,Lagos,South West,6614.0,50975,75000000.0
5,5,6,4,Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,650000000.0
4,4,5,5,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,100000000.0
5,5,6,2,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,115000000.0
5,5,6,4,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,190000000.0
5,5,6,4,Detached Duplex,Guzape District,Abuja,North Central,1292.0,5382,180000000.0
4,5,5,4,Terraced Duplexes,Lekki,Lagos,South West,6614.0,50975,75000000.0
4,4,5,5,Terraced Duplexes,Ajah,Lagos,South West,6614.0,50975,32000000.0
4,5,5,4,Block of Flats,Owerri West,Imo,South East,2996.0,1590,150000000.0
5,5,6,8,Detached Bungalow,Ojodu,Lagos,South West,6614.0,50975,60000000.0
4,4,5,4,Semi Detached Duplex,Ikoyi,Lagos,South West,6614.0,50975,450000000.0
5,5,6,9,Detached Duplex,Sango Ota,Ogun,South West,2024.0,1601,35000000.0
5,6,6,4,Detached Duplex,Katampe,Abuja,North Central,1292.0,5382,420000000.0
2,2,2,2,Block of Flats,Ibafo,Ogun,South West,2024.0,1601,13000000.0
5,5,6,5,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,125000000.0
5,6,7,6,Detached Duplex,Lekki,Lagos,South West,6614.0,50975,110000000.0
5,5,5,8,Detached Duplex,Isolo,Lagos,South West,6614.0,50975,52000000.0
3,5,5,4,Block of Flats,Lekki,Lagos,South West,6614.0,50975,650000000.0
4,4,4,4,Semi Detached Duplex,Magodo,Lagos,South West,6614.0,50975,75000000.0
3,5,4,4,Detached Duplex,Ikeja,Lagos,South West,6614.0,50975,130000000.0
1,4,4,4,Detached Duplex,Surulere,Lagos,South West,6614.0,50975,50000000.0
3,3,4,2,Block of Flats,Ikoyi,Lagos,South West,6614.0,50975,190000000.0
